name,category,location,website
Charles M. Schulz,"chocolate, food, humor",Demo,https://quotes.toscrape.com/page/4/
William Nicholson,"misattributed-to-c-s-lewis, reading",Demo,https://quotes.toscrape.com/page/4/
Albert Einstein,"knowledge, learning, understanding, wisdom",Demo,https://quotes.toscrape.com/page/4/
Jorge Luis Borges,"books, library",Demo,https://quotes.toscrape.com/page/4/
George Eliot,inspirational,Demo,https://quotes.toscrape.com/page/4/
George R.R. Martin,"read, readers, reading, reading-books",Demo,https://quotes.toscrape.com/page/5/
C.S. Lewis,"books, inspirational, reading, tea",Demo,https://quotes.toscrape.com/page/5/
Marilyn Monroe,N/A,Demo,https://quotes.toscrape.com/page/5/
Albert Einstein,"life, simile",Demo,https://quotes.toscrape.com/page/5/
Martin Luther King Jr.,"hope, inspirational",Demo,https://quotes.toscrape.com/page/5/
J.K. Rowling,dumbledore,Demo,https://quotes.toscrape.com/page/5/
James Baldwin,love,Demo,https://quotes.toscrape.com/page/5/
Jane Austen,"friendship, love",Demo,https://quotes.toscrape.com/page/6/
Eleanor Roosevelt,"attributed, fear, inspiration",Demo,https://quotes.toscrape.com/page/6/
Marilyn Monroe,attributed-no-source,Demo,https://quotes.toscrape.com/page/6/
Albert Einstein,music,Demo,https://quotes.toscrape.com/page/6/
Haruki Murakami,"books, thought",Demo,https://quotes.toscrape.com/page/6/
Alexandre Dumas fils,misattributed-to-einstein,Demo,https://quotes.toscrape.com/page/6/
Stephenie Meyer,"drug, romance, simile",Demo,https://quotes.toscrape.com/page/6/
Ernest Hemingway,"books, friends, novelist-quotes",Demo,https://quotes.toscrape.com/page/6/
Helen Keller,inspirational,Demo,https://quotes.toscrape.com/page/6/
George Bernard Shaw,"inspirational, life, yourself",Demo,https://quotes.toscrape.com/page/6/
Charles Bukowski,alcohol,Demo,https://quotes.toscrape.com/page/7/
Suzanne Collins,the-hunger-games,Demo,https://quotes.toscrape.com/page/7/
C.S. Lewis,love,Demo,https://quotes.toscrape.com/page/7/
J.R.R. Tolkien,"bilbo, journey, lost, quest, travel, wander",Demo,https://quotes.toscrape.com/page/7/
J.K. Rowling,live-death-love,Demo,https://quotes.toscrape.com/page/7/
Ernest Hemingway,"good, writing",Demo,https://quotes.toscrape.com/page/7/
Ralph Waldo Emerson,"life, regrets",Demo,https://quotes.toscrape.com/page/7/
Mark Twain,education,Demo,https://quotes.toscrape.com/page/7/
Dr. Seuss,troubles,Demo,https://quotes.toscrape.com/page/7/
Alfred Tennyson,"friendship, love",Demo,https://quotes.toscrape.com/page/8/
Charles Bukowski,humor,Demo,https://quotes.toscrape.com/page/8/
Terry Pratchett,"humor, open-mind, thinking",Demo,https://quotes.toscrape.com/page/8/
Dr. Seuss,"humor, philosophy",Demo,https://quotes.toscrape.com/page/8/
J.D. Salinger,"authors, books, literature, reading, writing",Demo,https://quotes.toscrape.com/page/8/
George Carlin,"humor, insanity, lies, lying, self-indulgence, truth",Demo,https://quotes.toscrape.com/page/8/
John Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",Demo,https://quotes.toscrape.com/page/8/
W.C. Fields,"humor, sinister",Demo,https://quotes.toscrape.com/page/8/
Ayn Rand,N/A,Demo,https://quotes.toscrape.com/page/8/
Mark Twain,"books, classic, reading",Demo,https://quotes.toscrape.com/page/8/
Albert Einstein,mistakes,Demo,https://quotes.toscrape.com/page/9/
Jane Austen,"humor, love, romantic, women",Demo,https://quotes.toscrape.com/page/9/
J.K. Rowling,integrity,Demo,https://quotes.toscrape.com/page/9/
C.S. Lewis,"age, fairytales, growing-up",Demo,https://quotes.toscrape.com/page/9/
Mark Twain,"death, life",Demo,https://quotes.toscrape.com/page/9/
J.K. Rowling,truth,Demo,https://quotes.toscrape.com/page/10/
Jimi Hendrix,"death, life",Demo,https://quotes.toscrape.com/page/10/
J.M. Barrie,"adventure, love",Demo,https://quotes.toscrape.com/page/10/
E.E. Cummings,courage,Demo,https://quotes.toscrape.com/page/10/
Khaled Hosseini,life,Demo,https://quotes.toscrape.com/page/10/
Harper Lee,better-life-empathy,Demo,https://quotes.toscrape.com/page/10/
Madeleine L'Engle,"books, children, difficult, grown-ups, write, writers, writing",Demo,https://quotes.toscrape.com/page/10/
Mark Twain,truth,Demo,https://quotes.toscrape.com/page/10/
Dr. Seuss,inspirational,Demo,https://quotes.toscrape.com/page/10/
George R.R. Martin,"books, mind",Demo,https://quotes.toscrape.com/page/10/
